stockid,TBP,TBPInStock,StockInTBP,AreaName,commonname,scientificname
ALPLAICBSAI,60,60.85,91.35,East Bering Sea,Alaska plaice,Pleuronectes quadrituberculatus
ARFLOUNDBSAI,59,58.06,13.83,Aleutian Islands,Arrowtooth flounder,Reinhardtius stomias
ARFLOUNDBSAI,60,47.22,80.98,East Bering Sea,Arrowtooth flounder,Reinhardtius stomias
ARFLOUNDGA,4,54.47,69.75,Gulf of Alaska,Arrowtooth flounder,Atheresthes stomias
ARFLOUNDPCOAST,85,89.1,25.18,North California Current,Arrowtooth flounder,Reinhardtius stomias
ARGHAKENARG,86,24.79,79.75,Argentina,Argentine hake,Merluccius hubbsi
ATKABSAI,59,15.96,30.12,Aleutian Islands,Atka mackerel,Pleurogrammus monopterygius
ATKABSAI,60,2.82,38.29,East Bering Sea,Atka mackerel,Pleurogrammus monopterygius
BGRDRSE,88,89.97,53.23,Southwest Australian Shelf,blue grenadier,Macruronus novaezelandiae
BGRDRSE,89,1.45,1.74,Northwest Australian Shelf,blue grenadier,Macruronus novaezelandiae
BGRDRSE,91,85.7,40.02,Southeast Australian Shelf,blue grenadier,Macruronus novaezelandiae
BGROCKPCOAST,85,57.11,37.93,North California Current,Blackgill rockfish,Sebastes melanostomus
BOCACCSPCOAST,85,67.63,28.75,North California Current,Bocaccio,Sebastes paucispinis
BWHITMEDGSA9,217,26.61,69.05,Tyrrhenian Sea (GFCM 1.3),Blue whiting,Micromesistius poutassou
CALSCORPSCAL,85,29.9,41.31,North California Current,California scorpionfish,Scorpaena guttata
CHAKESA,83,99.74,20.18,South Benguela Current,Shallow-water cape hake,Merluccius capensis
CHAKESA,84,71.14,16.68,East Agulhas Current,Shallow-water cape hake,Merluccius capensis
CHILISPCOAST,85,89.1,25.18,North California Current,Chilipepper,Sebastes goodei
CODBA2224,221,49.72,99.68,Western Baltic Sea (ICES 23-25),Atlantic cod,Gadus morhua
CODBA2532,221,50.27,12.57,Western Baltic Sea (ICES 23-25),Atlantic cod,Gadus morhua
CODIS,226,99.85,99.42,Irish Sea (ICES 7a),Atlantic cod,Gadus morhua
COWCODSCAL,85,29.9,41.31,North California Current,Cowcod,Sebastes levis
CROCKPCOAST,85,57.11,37.93,North California Current,Canary rockfish,Sebastes pinniger
DEEPCHAKESA,83,99.74,20.18,South Benguela Current,Deep-water cape hake,Merluccius paradoxus
DEEPCHAKESA,84,71.14,16.68,East Agulhas Current,Deep-water cape hake,Merluccius paradoxus
DKROCKPCOAST,85,57.11,37.93,North California Current,Darkblotched rockfish,Sebastes crameri
DSOLEGA,4,44.23,87.52,Gulf of Alaska,Dover sole,Microstomus pacificus
DSOLEPCOAST,85,57.11,37.93,North California Current,Dover sole,Microstomus pacificus
DUSROCKGA,4,28.84,73.93,Gulf of Alaska,Dusky rockfish,Sebastes variabilis
ESOLEPCOAST,85,57.11,37.93,North California Current,English sole,Parophrys vetulus
FLSOLEBSAI,59,9.89,1.69,Aleutian Islands,Flathead sole,Hippoglossoides elassodon
FLSOLEBSAI,60,72.57,88.73,East Bering Sea,Flathead sole,Hippoglossoides elassodon
FLSOLEGA,4,44.58,73.93,Gulf of Alaska,Flathead sole,Hippoglossoides elassodon
FLSOLEGA,60,0.01,0.03,East Bering Sea,Flathead sole,Hippoglossoides elassodon
GRNSTROCKPCOAST,85,29.9,41.31,North California Current,Greenstriped rockfish,Sebastes elongatus
GRSHRIMPMEDGSA10,217,26.09,27.81,Tyrrhenian Sea (GFCM 1.3),Giant red shrimp,Aristaeomorpha foliacea
GRSHRIMPMEDGSA11,217,17.42,19.9,Tyrrhenian Sea (GFCM 1.3),Giant red shrimp,Aristaeomorpha foliacea
GRSHRIMPMEDGSA9,217,26.61,69.05,Tyrrhenian Sea (GFCM 1.3),Giant red shrimp,Aristaeomorpha foliacea
GRSPROCKNCAL,85,34.11,26.41,North California Current,Greenspotted rockfish,Sebastes chlorostictus
GRSPROCKSCAL,85,29.9,41.31,North California Current,Greenspotted rockfish,Sebastes chlorostictus
HAKEMEDGSA17-18,211,100,28.31,Adriatic Sea (GFCM 2.1),Hake,Merluccius merluccius
HAKEMEDGSA9-11,217,68.41,30.96,Tyrrhenian Sea (GFCM 1.3),Hake,Merluccius merluccius
HAKENRTN,208,98.61,2.65,Skagerrak and Kattegat (ICES 3a),Hake,Merluccius merluccius
