Region,Stock,Latin.binomial,fstatus,SAR,FP,SemiId,stockid
East Bering Sea,Alaska plaice,Pleuronectes quadrituberculatus,0.5,0.09,7.9,Alaska plaice Pleuronectes quadrituberculatus East Bering Sea,ALPLAICBSAI
Argentina,Argentine hake,Merluccius hubbsi,3.2,0.28,17.6,Argentine hake Merluccius hubbsi Argentina,ARGHAKENARG
North California Current,Arrowtooth flounder,Reinhardtius stomias,0.2,0.08,6.9,Arrowtooth flounder Reinhardtius stomias North California Current,ARFLOUNDPCOAST
East Bering Sea,Arrowtooth flounder,Reinhardtius stomias,0.4,0.09,7.9,Arrowtooth flounder Reinhardtius stomias East Bering Sea,ARFLOUNDBSAI
Gulf of Alaska,Arrowtooth flounder,Atheresthes stomias,0.2,0.02,1.7,Arrowtooth flounder Atheresthes stomias Gulf of Alaska,ARFLOUNDGA
East Bering Sea,Atka mackerel,Pleurogrammus monopterygius,0.5,0.09,7.9,Atka mackerel Pleurogrammus monopterygius East Bering Sea,ATKABSAI
Skagerrak and Kattegat (ICES 3a),Atlantic cod,Gadus morhua,3.8,3.33,54.4,Atlantic cod Gadus morhua Skagerrak and Kattegat (ICES 3a),CODBA2224
Skagerrak and Kattegat (ICES 3a),Atlantic cod,Gadus morhua,1,3.33,54.4,Atlantic cod Gadus morhua Skagerrak and Kattegat (ICES 3a),CODBA2532
Irish Sea (ICES 7a),Atlantic cod,Gadus morhua,3.2,1.46,28.5,Atlantic cod Gadus morhua Irish Sea (ICES 7a),CODIS
North California Current,Aurora rockfish,Sebastes aurora,0.4,0.08,6.9,Aurora rockfish Sebastes aurora North California Current,AUROCKPCOAST
North California Current,Black rockfish,Sebastes melanops,0.9,0.08,6.9,Black rockfish Sebastes melanops North California Current,BLACKROCKCAL
North California Current,Black rockfish,Sebastes melanops,0.7,0.08,6.9,Black rockfish Sebastes melanops North California Current,BLACKROCKORECOAST
North California Current,Black rockfish,Sebastes melanops,0.4,0.08,6.9,Black rockfish Sebastes melanops North California Current,BLACKROCKWASH
North California Current,Blackgill rockfish,Sebastes melanostomus,0.4,0.08,6.9,Blackgill rockfish Sebastes melanostomus North California Current,BGROCKPCOAST
Southeast Australian Shelf,blue grenadier,Macruronus novaezelandiae,1.3,0.13,8.6,blue grenadier Macruronus novaezelandiae Southeast Australian Shelf,BGRDRSE
Tyrrhenian Sea (GFCM 1.3),Blue whiting,Micromesistius poutassou,1.8,2.29,49.9,Blue whiting Micromesistius poutassou Tyrrhenian Sea (GFCM 1.3),BWHITMEDGSA9
North California Current,Bocaccio,Sebastes paucispinis,0.1,0.08,6.9,Bocaccio Sebastes paucispinis North California Current,BOCACCSPCOAST
North California Current,Brown rockfish,Sebastes auriculatus,0.7,0.08,6.9,Brown rockfish Sebastes auriculatus North California Current,BRNROCKPCOAST
North California Current,California scorpionfish,Scorpaena guttata,0.3,0.08,6.9,California scorpionfish Scorpaena guttata North California Current,CALSCORPSCAL
North California Current,Canary rockfish,Sebastes pinniger,0,0.08,6.9,Canary rockfish Sebastes pinniger North California Current,CROCKPCOAST
North California Current,Chilipepper,Sebastes goodei,0,0.08,6.9,Chilipepper Sebastes goodei North California Current,CHILISPCOAST
North California Current,China rockfish,Sebastes nebulosus,0.8,0.08,6.9,China rockfish Sebastes nebulosus North California Current,CHROCKCPCOAST
North California Current,China rockfish,Sebastes nebulosus,0.6,0.08,6.9,China rockfish Sebastes nebulosus North California Current,CHROCKNPCOAST
North California Current,China rockfish,Sebastes nebulosus,0.5,0.08,6.9,China rockfish Sebastes nebulosus North California Current,CHROCKSPCOAST
Adriatic Sea (GFCM 2.1),Common sole,Solea solea,4.3,7.93,80.7,Common sole Solea solea Adriatic Sea (GFCM 2.1),SOLMEDGSA17
Irish Sea (ICES 7a),Common sole,Solea solea,1.2,1.46,28.5,Common sole Solea solea Irish Sea (ICES 7a),SOLEIS
"North Sea (ICES 4a, b, c)",Common sole,Solea solea,0.9,1.19,51.7,"Common sole Solea solea North Sea (ICES 4a, b, c)",SOLENS
North California Current,Copper rockfish,Sebastes caurinus,0.3,0.08,6.9,Copper rockfish Sebastes caurinus North California Current,CPRROCKPCOAST
North California Current,Cowcod,Sebastes levis,0,0.08,6.9,Cowcod Sebastes levis North California Current,COWCODSCAL
North California Current,Darkblotched rockfish,Sebastes crameri,0.2,0.08,6.9,Darkblotched rockfish Sebastes crameri North California Current,DKROCKPCOAST
East Agulhas Current,deep-water cape hake,Merluccius paradoxus,0.7,0.25,11.1,deep-water cape hake Merluccius paradoxus East Agulhas Current,DEEPCHAKESA
Tyrrhenian Sea (GFCM 1.3),Deep-water rose shrimp,Parapenaeus longirostris,1.6,2.29,49.9,Deep-water rose shrimp Parapenaeus longirostris Tyrrhenian Sea (GFCM 1.3),RSHRMPMEDGSA10
Tyrrhenian Sea (GFCM 1.3),Deep-water rose shrimp,Parapenaeus longirostris,1.5,2.29,49.9,Deep-water rose shrimp Parapenaeus longirostris Tyrrhenian Sea (GFCM 1.3),RSHRMPMEDGSA10
Tyrrhenian Sea (GFCM 1.3),Deep-water rose shrimp,Parapenaeus longirostris,1.1,2.29,49.9,Deep-water rose shrimp Parapenaeus longirostris Tyrrhenian Sea (GFCM 1.3),RSHRMPMEDGSA10
