Country (Country),Fishing area (FAO major fishing area),Fishing area (FAO major fishing area)
Japan,"Pacific, Northwest",61
Un. Sov. Soc. Rep.,"Pacific, Northwest",61
Peru,"Pacific, Southeast",87
Chile,"Pacific, Southeast",87
Peru,"Pacific, Southeast",87
China,"Pacific, Northwest",61
Chile,"Pacific, Southeast",87
Japan,"Pacific, Northwest",61
Chile,"Pacific, Southeast",87
United States of America,"Pacific, Northeast",67
Japan,"Pacific, Northwest",61
Thailand,"Pacific, Western Central",71
Iceland,"Atlantic, Northeast",27
Denmark,"Atlantic, Northeast",27
United States of America,"Atlantic, Western Central",31
Un. Sov. Soc. Rep.,"Pacific, Northwest",61
"Korea, Dem. People's Rep","Pacific, Northwest",61
Un. Sov. Soc. Rep.,"Pacific, Southeast",87
Ecuador,"Pacific, Southeast",87
Japan,"Pacific, Northwest",61
Viet Nam,"Pacific, Western Central",71
Myanmar,"Indian Ocean, Eastern",57
China,"Pacific, Northwest",61
Canada,"Atlantic, Northwest",21
Mexico,"Pacific, Eastern Central",77
"Korea, Republic of","Pacific, Northeast",67
China,"Pacific, Northwest",61
China,Asia - Inland waters,4
China,"Pacific, Northwest",61
Iceland,"Atlantic, Northeast",27
India,Asia - Inland waters,4
Bangladesh,Asia - Inland waters,4
Norway,"Atlantic, Northeast",27
"Korea, Republic of","Pacific, Northwest",61
China,"Pacific, Northwest",61
Un. Sov. Soc. Rep.,"Atlantic, Antarctic",48
South Africa,"Atlantic, Southeast",47
Un. Sov. Soc. Rep.,"Pacific, Northwest",61
Turkey,Mediterranean and Black Sea,37
Un. Sov. Soc. Rep.,"Atlantic, Northeast",27
Norway,"Atlantic, Northeast",27
Norway,"Atlantic, Northeast",27
Argentina,"Atlantic, Southwest",41
Un. Sov. Soc. Rep.,"Pacific, Northwest",61
Norway,"Atlantic, Northeast",27
Un. Sov. Soc. Rep.,Former USSR area - Inland waters,7
Morocco,"Atlantic, Eastern Central",34
China,"Pacific, Northwest",61
Un. Sov. Soc. Rep.,Mediterranean and Black Sea,37
United States of America,"Atlantic, Northwest",21
Japan,"Pacific, Western Central",71
Japan,"Pacific, Northwest",61
Un. Sov. Soc. Rep.,"Atlantic, Eastern Central",34
Japan,"Pacific, Northwest",61
Indonesia,"Pacific, Western Central",71
Thailand,"Indian Ocean, Eastern",57
India,"Indian Ocean, Western",51
Un. Sov. Soc. Rep.,"Atlantic, Northeast",27
"Korea, Republic of","Pacific, Northwest",61
Brazil,"Atlantic, Southwest",41
United States of America,"Atlantic, Northwest",21
Denmark,"Atlantic, Northeast",27
Canada,"Atlantic, Northwest",21
Un. Sov. Soc. Rep.,Former USSR area - Inland waters,7
South Africa,"Atlantic, Southeast",47
India,Asia - Inland waters,4
India,"Indian Ocean, Western",51
Philippines,"Pacific, Western Central",71
China,"Pacific, Northwest",61
Pakistan,"Indian Ocean, Western",51
United States of America,"Atlantic, Northwest",21
Un. Sov. Soc. Rep.,"Atlantic, Southeast",47
Japan,"Pacific, Northeast",67
Un. Sov. Soc. Rep.,"Atlantic, Eastern Central",34
Un. Sov. Soc. Rep.,"Pacific, Northwest",61
Un. Sov. Soc. Rep.,"Pacific, Northwest",61
Japan,"Pacific, Northwest",61
Malaysia,"Indian Ocean, Eastern",57
Poland,"Pacific, Northwest",61
"Korea, Republic of","Pacific, Northwest",61
Norway,"Atlantic, Northeast",27
United Kingdom,"Atlantic, Northeast",27
Norway,"Atlantic, Northeast",27
Japan,"Pacific, Northwest",61
"Korea, Republic of","Pacific, Northwest",61
Denmark,"Atlantic, Northeast",27
Un. Sov. Soc. Rep.,"Atlantic, Southeast",47
"Congo, Dem. Rep. of the",Africa - Inland waters,1
United Kingdom,"Atlantic, Northeast",27
United States of America,"Pacific, Northeast",67
Denmark,"Atlantic, Northeast",27
Philippines,Asia - Inland waters,4
Spain,"Atlantic, Southeast",47
Myanmar,Asia - Inland waters,4
India,"Indian Ocean, Western",51
Un. Sov. Soc. Rep.,"Atlantic, Southeast",47
Japan,"Pacific, Northwest",61
Un. Sov. Soc. Rep.,"Atlantic, Northeast",27
Japan,"Pacific, Northwest",61
China,"Pacific, Northwest",61
Japan,"Pacific, Northwest",61
Egypt,Africa - Inland waters,1
India,"Indian Ocean, Western",51
Indonesia,"Pacific, Western Central",71
China,"Pacific, Northwest",61
Norway,"Atlantic, Northeast",27
Other nei,Marine areas outside the Antarctic,99
Brazil,"Atlantic, Southwest",41
United States of America,"Pacific, Northeast",67
Sweden,"Atlantic, Northeast",27
Japan,"Pacific, Northwest",61
China,Asia - Inland waters,4
Viet Nam,Asia - Inland waters,4
Un. Sov. Soc. Rep.,"Atlantic, Eastern Central",34
Mexico,"Pacific, Eastern Central",77
Bangladesh,"Indian Ocean, Eastern",57
United Kingdom,"Atlantic, Northeast",27
United States of America,"Pacific, Northeast",67
Mexico,"Pacific, Eastern Central",77
Japan,"Pacific, Northwest",61
Japan,"Pacific, Northwest",61
Morocco,"Atlantic, Eastern Central",34
Turkey,Mediterranean and Black Sea,37
Ecuador,"Pacific, Southeast",87
"Korea, Republic of","Pacific, Northwest",61
Un. Sov. Soc. Rep.,"Atlantic, Northeast",27
Un. Sov. Soc. Rep.,"Pacific, Southwest",81
Denmark,"Atlantic, Northeast",27
Portugal,"Atlantic, Northeast",27
"Korea, Republic of","Pacific, Northwest",61
Ecuador,"Pacific, Southeast",87
Netherlands,"Atlantic, Northeast",27
Morocco,"Atlantic, Eastern Central",34
Un. Sov. Soc. Rep.,Mediterranean and Black Sea,37
Japan,"Pacific, Northwest",61
Iran (Islamic Rep. of),"Indian Ocean, Western",51
South Africa,"Atlantic, Southeast",47
Philippines,"Pacific, Western Central",71
Thailand,"Pacific, Western Central",71
Mexico,"Atlantic, Western Central",31
United States of America,"Pacific, Western Central",71
Brazil,"America, South - Inland waters",3
Romania,"Atlantic, Southeast",47
Un. Sov. Soc. Rep.,"Pacific, Northwest",61
Thailand,"Pacific, Western Central",71
Mexico,"Pacific, Eastern Central",77
United States of America,"Pacific, Northeast",67
Uganda,Africa - Inland waters,1
Indonesia,Asia - Inland waters,4
Indonesia,"Pacific, Western Central",71
Thailand,"Pacific, Western Central",71
India,"Indian Ocean, Western",51
China,"Pacific, Northwest",61
Bangladesh,Asia - Inland waters,4
Taiwan Province of China,"Atlantic, Southwest",41
United States of America,"Pacific, Northeast",67
Spain,"Atlantic, Eastern Central",34
Japan,"Pacific, Northwest",61
United Kingdom,"Atlantic, Northeast",27
Japan,"Pacific, Northwest",61
Un. Sov. Soc. Rep.,"Atlantic, Southeast",47
United States of America,"Pacific, Eastern Central",77
Poland,"Atlantic, Southwest",41
Norway,"Atlantic, Northeast",27
Denmark,"Atlantic, Northeast",27
Philippines,"Pacific, Western Central",71
South Africa,"Atlantic, Southeast",47
Faroe Islands,"Atlantic, Northeast",27
Uruguay,"Atlantic, Southwest",41
Iceland,"Atlantic, Northeast",27
Japan,"Pacific, Northwest",61
Poland,"Pacific, Northeast",67
Japan,"Pacific, Northwest",61
Finland,"Atlantic, Northeast",27
"Tanzania, United Rep. of",Africa - Inland waters,1
Panama,"Pacific, Eastern Central",77
Bangladesh,"Indian Ocean, Eastern",57
Japan,"Pacific, Eastern Central",77
Japan,"Pacific, Southwest",81
United States of America,"Pacific, Northeast",67
Philippines,"Pacific, Western Central",71
Japan,"Pacific, Northwest",61
Indonesia,"Pacific, Western Central",71
"Venezuela, Boliv Rep of","Atlantic, Western Central",31
Canada,"Atlantic, Northwest",21
Netherlands,"Atlantic, Northeast",27
France,"Atlantic, Northeast",27
Un. Sov. Soc. Rep.,"Atlantic, Eastern Central",34
Indonesia,"Pacific, Western Central",71
Spain,"Atlantic, Northeast",27
Poland,"Atlantic, Northeast",27
United States of America,"Atlantic, Western Central",31
Un. Sov. Soc. Rep.,"Atlantic, Eastern Central",34
"China, Hong Kong SAR","Pacific, Northwest",61
Un. Sov. Soc. Rep.,Mediterranean and Black Sea,37
Senegal,"Atlantic, Eastern Central",34
Pakistan,Asia - Inland waters,4
Japan,"Pacific, Northwest",61
"Korea, Republic of","Pacific, Northwest",61
Ireland,"Atlantic, Northeast",27
Japan,"Atlantic, Southwest",41
Philippines,"Pacific, Western Central",71
Thailand,"Pacific, Western Central",71
Japan,"Pacific, Northwest",61
Japan,"Pacific, Western Central",71
"Tanzania, United Rep. of",Africa - Inland waters,1
China,"Pacific, Northwest",61
France,"Atlantic, Northeast",27
United States of America,"Atlantic, Northwest",21
Japan,"Pacific, Northwest",61
Uganda,Africa - Inland waters,1
Denmark,"Atlantic, Northeast",27
Norway,"Atlantic, Northeast",27
United States of America,"Atlantic, Northwest",21
Indonesia,"Indian Ocean, Eastern",57
Germany,"Atlantic, Northeast",27
Indonesia,"Pacific, Western Central",71
Taiwan Province of China,"Pacific, Northwest",61
Nigeria,"Atlantic, Eastern Central",34
Un. Sov. Soc. Rep.,"Atlantic, Northwest",21
Canada,"Atlantic, Northwest",21
Un. Sov. Soc. Rep.,"Atlantic, Northeast",27
Iceland,"Atlantic, Northeast",27
Peru,"Pacific, Southeast",87
India,"Indian Ocean, Eastern",57
Taiwan Province of China,"Pacific, Northwest",61
Philippines,"Pacific, Western Central",71
Thailand,"Pacific, Western Central",71
Faroe Islands,"Atlantic, Northeast",27
Chile,"Pacific, Southeast",87
Cambodia,Asia - Inland waters,4
Iceland,"Atlantic, Northeast",27
Malaysia,"Indian Ocean, Eastern",57
Faroe Islands,"Atlantic, Northeast",27
China,Asia - Inland waters,4
Spain,"Atlantic, Eastern Central",34
Netherlands,"Atlantic, Northeast",27
Netherlands,"Atlantic, Northeast",27
Chad,Africa - Inland waters,1
Indonesia,"Pacific, Western Central",71
Thailand,"Indian Ocean, Eastern",57
Thailand,"Pacific, Western Central",71
Kenya,Africa - Inland waters,1
Greenland,"Atlantic, Northwest",21
Norway,"Atlantic, Northeast",27
South Africa,"Atlantic, Southeast",47
Japan,"Pacific, Northwest",61
Philippines,"Pacific, Western Central",71
Japan,"Pacific, Northwest",61
Guyana,"America, South - Inland waters",3
Norway,"Atlantic, Northeast",27
Canada,"Atlantic, Northwest",21
Un. Sov. Soc. Rep.,"Pacific, Northwest",61
United States of America,"Atlantic, Western Central",31
"Korea, Dem. People's Rep",Asia - Inland waters,4
Indonesia,"Indian Ocean, Eastern",57
Canada,"Atlantic, Northwest",21
Indonesia,"Pacific, Western Central",71
United States of America,"Pacific, Eastern Central",77
United States of America,"Atlantic, Western Central",31
Ghana,Africa - Inland waters,1
Japan,"Atlantic, Antarctic",48
Un. Sov. Soc. Rep.,Former USSR area - Inland waters,7
Denmark,"Atlantic, Northeast",27
Sweden,"Atlantic, Northeast",27
Mexico,"America, North - Inland waters",2
Italy,Mediterranean and Black Sea,37
"Korea, Republic of","Pacific, Northwest",61
Brazil,"America, South - Inland waters",3
United States of America,"Pacific, Northeast",67
Un. Sov. Soc. Rep.,"Atlantic, Northeast",27
China,"Pacific, Northwest",61
China,"Pacific, Northwest",61
Italy,Mediterranean and Black Sea,37
United States of America,"Pacific, Northeast",67
Peru,"Pacific, Southeast",87
Canada,"Atlantic, Northwest",21
Spain,"Atlantic, Northwest",21
Un. Sov. Soc. Rep.,"Atlantic, Eastern Central",34
Sri Lanka,"Indian Ocean, Eastern",57
Mexico,"Pacific, Eastern Central",77
Ghana,"Atlantic, Eastern Central",34
Bulgaria,"Atlantic, Southeast",47
"Korea, Republic of","Atlantic, Southwest",41
Iceland,"Atlantic, Northeast",27
United States of America,"Atlantic, Northwest",21
Cuba,"Pacific, Southeast",87
Malaysia,"Pacific, Western Central",71
Thailand,"Pacific, Western Central",71
India,"Indian Ocean, Western",51
Philippines,"Pacific, Western Central",71
Spain,Mediterranean and Black Sea,37
United States of America,"Atlantic, Western Central",31
United Kingdom,"Atlantic, Northeast",27
Japan,"Pacific, Northwest",61
Zambia,Africa - Inland waters,1
Un. Sov. Soc. Rep.,"Atlantic, Northeast",27
Maldives,"Indian Ocean, Western",51
India,"Indian Ocean, Eastern",57
Thailand,"Pacific, Western Central",71
Germany,"Atlantic, Northeast",27
"Tanzania, United Rep. of",Africa - Inland waters,1
Canada,"Atlantic, Northwest",21
Spain,"Atlantic, Northeast",27
New Zealand,"Pacific, Southwest",81
Thailand,Asia - Inland waters,4
Indonesia,"Pacific, Western Central",71
Thailand,"Pacific, Western Central",71
Indonesia,"Indian Ocean, Eastern",57
Portugal,"Atlantic, Northwest",21
Malaysia,"Indian Ocean, Eastern",57
India,"Indian Ocean, Western",51
Poland,"Atlantic, Northeast",27
Un. Sov. Soc. Rep.,Mediterranean and Black Sea,37
Japan,"Pacific, Northeast",67
Canada,"Atlantic, Northwest",21
India,"Indian Ocean, Western",51
Mexico,"Pacific, Eastern Central",77
Philippines,"Pacific, Western Central",71
Mexico,"Atlantic, Western Central",31
Philippines,"Pacific, Western Central",71
Philippines,"Pacific, Western Central",71
"Korea, Republic of","Pacific, Northwest",61
Spain,"Atlantic, Eastern Central",34
Faroe Islands,"Atlantic, Northeast",27
Oman,"Indian Ocean, Western",51
Japan,"Pacific, Northeast",67
Denmark,"Atlantic, Northeast",27
France,"Indian Ocean, Western",51
Thailand,"Pacific, Western Central",71
Indonesia,"Pacific, Western Central",71
Brazil,"Atlantic, Southwest",41
Un. Sov. Soc. Rep.,"Atlantic, Northeast",27
Netherlands,"Atlantic, Northeast",27
Algeria,Mediterranean and Black Sea,37
India,"Indian Ocean, Western",51
United States of America,"Pacific, Northeast",67
Un. Sov. Soc. Rep.,"Atlantic, Eastern Central",34
Japan,"Pacific, Northwest",61
Peru,"Pacific, Southeast",87
Philippines,"Pacific, Western Central",71
Indonesia,"Pacific, Western Central",71
Solomon Islands,"Pacific, Western Central",71
Malawi,Africa - Inland waters,1
France,"Indian Ocean, Western",51
United States of America,"Pacific, Eastern Central",77
Peru,"Pacific, Southeast",87
Chile,"Pacific, Southeast",87
Thailand,"Pacific, Western Central",71
Poland,"Atlantic, Southwest",41
Ireland,"Atlantic, Northeast",27
Brazil,"Atlantic, Southwest",41
Un. Sov. Soc. Rep.,"Pacific, Northwest",61
Canada,"Atlantic, Northwest",21
Un. Sov. Soc. Rep.,"Pacific, Northwest",61
"Korea, Republic of","Pacific, Northwest",61
Un. Sov. Soc. Rep.,"Pacific, Northwest",61
India,"Indian Ocean, Eastern",57
"Korea, Republic of","Pacific, Northwest",61
Indonesia,"Pacific, Western Central",71
Chile,"Pacific, Southeast",87
Chile,"Pacific, Southeast",87
Japan,"Pacific, Northeast",67
Un. Sov. Soc. Rep.,"Atlantic, Eastern Central",34
Un. Sov. Soc. Rep.,"Atlantic, Southwest",41
United States of America,"Pacific, Western Central",71
Canada,"Pacific, Northeast",67
Un. Sov. Soc. Rep.,"Atlantic, Northeast",27
United States of America,"Atlantic, Western Central",31
United Kingdom,"Atlantic, Northeast",27
Un. Sov. Soc. Rep.,"Pacific, Northwest",61
"Korea, Republic of","Pacific, Northwest",61
Spain,"Atlantic, Eastern Central",34
United States of America,"Atlantic, Northwest",21
Iceland,"Atlantic, Northeast",27
United States of America,"Pacific, Northeast",67
Brazil,"Atlantic, Southwest",41
Un. Sov. Soc. Rep.,"Atlantic, Northwest",21
Peru,"Pacific, Southeast",87
Ecuador,"Pacific, Southeast",87
United States of America,"Pacific, Northeast",67
France,"Atlantic, Northeast",27
India,"Indian Ocean, Western",51
Brazil,"Atlantic, Southwest",41
Cuba,"Atlantic, Western Central",31
Kenya,Africa - Inland waters,1
Philippines,"Pacific, Western Central",71
Yemen,"Indian Ocean, Western",51
Indonesia,Asia - Inland waters,4
United States of America,"Atlantic, Western Central",31
Indonesia,"Pacific, Western Central",71
Germany,"Atlantic, Southeast",47
Guyana,"Atlantic, Western Central",31
India,"Indian Ocean, Eastern",57
Côte d'Ivoire,"Atlantic, Eastern Central",34
Japan,"Pacific, Northwest",61
Spain,"Atlantic, Northeast",27
Norway,"Atlantic, Northeast",27
Un. Sov. Soc. Rep.,"Atlantic, Southeast",47
Mauritania,"Atlantic, Eastern Central",34
Japan,"Pacific, Northwest",61
Peru,"America, South - Inland waters",3
Portugal,"Atlantic, Northwest",21
Viet Nam,"Pacific, Western Central",71
Italy,Mediterranean and Black Sea,37
Romania,"Atlantic, Eastern Central",34
Taiwan Province of China,"Pacific, Northwest",61
Taiwan Province of China,"Pacific, Northwest",61
United States of America,"Pacific, Northeast",67
India,"Indian Ocean, Western",51
Yugoslavia SFR,Mediterranean and Black Sea,37
"Korea, Republic of","Pacific, Northeast",67
Nigeria,Africa - Inland waters,1
Sri Lanka,Asia - Inland waters,4
Un. Sov. Soc. Rep.,"Pacific, Northwest",61
United States of America,"Pacific, Northeast",67
Iceland,"Atlantic, Northeast",27
Portugal,"Atlantic, Southeast",47
"Korea, Republic of","Pacific, Northwest",61
Morocco,"Atlantic, Eastern Central",34
Taiwan Province of China,"Pacific, Western Central",71
Japan,"Pacific, Northwest",61
Angola,"Atlantic, Southeast",47
Canada,"Pacific, Northeast",67
Chile,"Pacific, Southeast",87
Indonesia,"Indian Ocean, Eastern",57
Spain,"Atlantic, Eastern Central",34
"Korea, Republic of","Pacific, Northwest",61
China,"Pacific, Northwest",61
Spain,"Atlantic, Northeast",27
Spain,"Atlantic, Southwest",41
Canada,"Pacific, Northeast",67
France,"Atlantic, Northwest",21
Japan,Asia - Inland waters,4
Brazil,"America, South - Inland waters",3
Indonesia,"Indian Ocean, Eastern",57
Philippines,"Pacific, Western Central",71
Ireland,"Atlantic, Northeast",27
Colombia,"America, South - Inland waters",3
Indonesia,"Pacific, Western Central",71
Sri Lanka,"Indian Ocean, Eastern",57
Canada,"Atlantic, Northwest",21
Portugal,"Atlantic, Northeast",27
France,"Atlantic, Northeast",27
Germany,"Atlantic, Northeast",27
United Kingdom,"Atlantic, Northeast",27
Philippines,"Pacific, Western Central",71
Ireland,"Atlantic, Northeast",27
United States of America,"America, North - Inland waters",2
India,"Indian Ocean, Eastern",57
India,"Indian Ocean, Western",51
Mozambique,"Indian Ocean, Western",51
United States of America,"Pacific, Northeast",67
United States of America,"Atlantic, Northwest",21
India,"Indian Ocean, Eastern",57
Indonesia,"Pacific, Western Central",71
Turkey,Mediterranean and Black Sea,37
India,"Indian Ocean, Eastern",57
India,"Indian Ocean, Eastern",57
Chile,"Pacific, Southeast",87
Japan,"Pacific, Northwest",61
Poland,"Atlantic, Northeast",27
Thailand,"Indian Ocean, Eastern",57
Japan,"Pacific, Northeast",67
Philippines,"Pacific, Western Central",71
Philippines,"Pacific, Western Central",71
Italy,Mediterranean and Black Sea,37
Un. Sov. Soc. Rep.,"Pacific, Northwest",61
United States of America,"Pacific, Northeast",67
Un. Sov. Soc. Rep.,"Pacific, Northwest",61
New Zealand,"Pacific, Southwest",81
Canada,"Atlantic, Northwest",21
Japan,"Pacific, Northwest",61
Philippines,Asia - Inland waters,4
Ecuador,"Pacific, Southeast",87
Indonesia,"Indian Ocean, Eastern",57
Japan,"Pacific, Southwest",81
Madagascar,"Indian Ocean, Western",51
"Korea, Republic of","Pacific, Western Central",71
United Kingdom,"Atlantic, Northeast",27
Chile,"Pacific, Southeast",87
Netherlands,"Atlantic, Northeast",27
"Venezuela, Boliv Rep of","Atlantic, Western Central",31
Denmark,"Atlantic, Northeast",27
Côte d'Ivoire,Africa - Inland waters,1
Canada,"Pacific, Northeast",67
Un. Sov. Soc. Rep.,"Pacific, Northwest",61
Canada,"Pacific, Northeast",67
India,"Indian Ocean, Eastern",57
United States of America,"Atlantic, Northwest",21
Japan,"Atlantic, Southwest",41
Norway,"Atlantic, Northeast",27
Papua New Guinea,Oceania - Inland waters,6
Uruguay,"Atlantic, Southwest",41
Germany,"Atlantic, Northeast",27
Philippines,"Pacific, Western Central",71
Norway,"Atlantic, Northeast",27
Mexico,"Atlantic, Western Central",31
Thailand,"Pacific, Western Central",71
Indonesia,"Pacific, Western Central",71
Thailand,"Pacific, Western Central",71
Spain,"Atlantic, Northeast",27
"Venezuela, Boliv Rep of","Pacific, Eastern Central",77
Madagascar,Africa - Inland waters,1
Italy,Mediterranean and Black Sea,37
Chile,"Pacific, Southeast",87
United Kingdom,"Atlantic, Northeast",27
"Korea, Republic of","Pacific, Northwest",61
Brazil,"Atlantic, Southwest",41
India,"Indian Ocean, Western",51
"Tanzania, United Rep. of",Africa - Inland waters,1
Japan,"Pacific, Northwest",61
Mexico,"America, North - Inland waters",2
Japan,Marine areas outside the Antarctic,99
Japan,"Pacific, Southwest",81
Chile,"Pacific, Southeast",87
Philippines,"Pacific, Western Central",71
Malaysia,"Pacific, Western Central",71
Un. Sov. Soc. Rep.,"Atlantic, Northeast",27
Sudan (former),Africa - Inland waters,1
Thailand,"Pacific, Western Central",71
Indonesia,"Indian Ocean, Eastern",57
Japan,"Pacific, Western Central",71
Japan,"Pacific, Eastern Central",77
Ghana,"Atlantic, Eastern Central",34
Spain,"Atlantic, Southwest",41
Taiwan Province of China,"Pacific, Northwest",61
Nigeria,"Atlantic, Eastern Central",34
Tunisia,Mediterranean and Black Sea,37
Ghana,"Atlantic, Eastern Central",34
Philippines,"Pacific, Western Central",71
Indonesia,"Pacific, Western Central",71
Nigeria,"Atlantic, Eastern Central",34
Indonesia,Asia - Inland waters,4
Angola,"Atlantic, Southeast",47
Guinea,"Atlantic, Eastern Central",34
Un. Sov. Soc. Rep.,Former USSR area - Inland waters,7
Un. Sov. Soc. Rep.,"Pacific, Northwest",61
"Korea, Republic of","Pacific, Northwest",61
Japan,Asia - Inland waters,4
Sierra Leone,"Atlantic, Eastern Central",34
India,"Indian Ocean, Eastern",57
Malawi,Africa - Inland waters,1
Brazil,"Atlantic, Southwest",41
